	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
MP2.141695	2.66666667	13.41666667	4.6	8.88333334	19.16666666	13.01666667	4.51666666	15.53333334	7.35	15.33333333	19.16666666	10.15	16.16666667	14.85	6.96666667	62.11666667	6.96666667	10.15	7.30833334	7.66666667	62.55	0.0	13.01666667	13.5	5.71666667	14.76666667	12.96666667	31.16666667	13.56666667	5.25	10.36666667	5.25	4.13333333	62.11666667	62.55	4.43333333	0.0	7.88333334	7.88333334	77.2	7.53333334	14.1	31.16666667	77.2	14.78333334	2.66666667	2.28333334	14.85	14.08333334	12.85	7.66666667	14.56666667	10.36666667	62.1	19.16666666	29.38333334	15.0	29.38333334	14.85	62.55	9.06666667	18.0	18.0	10.36666667	13.5	14.85	14.26666667	2.3	77.2	8.66666667	29.38333334	13.5	15.5	10.13333334	4.06666667	14.08333334	13.56666667
SN1.141681	10.35	0.4	8.41666667	4.13333333	32.18333333	0.0	17.53333333	2.51666667	5.66666667	28.35	32.18333333	2.86666667	3.15	1.83333333	6.05	49.1	6.05	2.86666667	5.70833333	5.35	49.53333333	13.01666667	0.0	0.48333333	7.3	1.75	0.05	18.15	0.55	7.76666667	2.65	7.76666667	17.15	49.1	49.53333333	17.45	13.01666667	5.13333333	5.13333333	64.18333333	5.48333333	1.08333333	18.15	64.18333333	1.76666667	10.35	10.73333333	1.83333333	1.06666667	0.16666667	5.35	1.55	2.65	49.08333333	32.18333333	16.36666667	1.98333333	16.36666667	1.83333333	49.53333333	3.95	4.98333333	4.98333333	2.65	0.48333333	1.83333333	1.25	10.71666667	64.18333333	4.35	16.36666667	0.48333333	2.48333333	2.88333333	8.95	1.06666667	0.55
DF3.141696	10.83333333	0.08333333	8.9	4.61666666	32.66666666	0.48333333	18.01666666	2.03333334	6.15	28.83333333	32.66666666	3.35	2.66666667	1.35	6.53333333	48.61666667	6.53333333	3.35	6.19166666	5.83333333	49.05	13.5	0.48333333	0.0	7.78333333	1.26666667	0.53333333	17.66666667	0.06666667	8.25	3.13333333	8.25	17.63333333	48.61666667	49.05	17.93333333	13.5	5.61666666	5.61666666	63.7	5.96666666	0.6	17.66666667	63.7	1.28333334	10.83333333	11.21666666	1.35	0.58333334	0.65	5.83333333	1.06666667	3.13333333	48.6	32.66666666	15.88333334	1.5	15.88333334	1.35	49.05	4.43333333	4.5	4.5	3.13333333	0.0	1.35	0.76666667	11.2	63.7	4.83333333	15.88333334	0.0	2.0	3.36666666	9.43333333	0.58333334	0.06666667
BP1.141702	3.05	7.7	1.11666667	3.16666667	24.88333333	7.3	10.23333333	9.81666667	1.63333333	21.05	24.88333333	4.43333333	10.45	9.13333333	1.25	56.4	1.25	4.43333333	1.59166667	1.95	56.83333333	5.71666667	7.3	7.78333333	0.0	9.05	7.25	25.45	7.85	0.46666667	4.65	0.46666667	9.85	56.4	56.83333333	10.15	5.71666667	2.16666667	2.16666667	71.48333333	1.81666667	8.38333333	25.45	71.48333333	9.06666667	3.05	3.43333333	9.13333333	8.36666667	7.13333333	1.95	8.85	4.65	56.38333333	24.88333333	23.66666667	9.28333333	23.66666667	9.13333333	56.83333333	3.35	12.28333333	12.28333333	4.65	7.78333333	9.13333333	8.55	3.41666667	71.48333333	2.95	23.66666667	7.78333333	9.78333333	4.41666667	1.65	8.36666667	7.85
SR1.141680	12.1	1.35	10.16666667	5.88333333	33.93333333	1.75	19.28333333	0.76666667	7.41666667	30.1	33.93333333	4.61666667	1.4	0.08333333	7.8	47.35	7.8	4.61666667	7.45833333	7.1	47.78333333	14.76666667	1.75	1.26666667	9.05	0.0	1.8	16.4	1.2	9.51666667	4.4	9.51666667	18.9	47.35	47.78333333	19.2	14.76666667	6.88333333	6.88333333	62.43333333	7.23333333	0.66666667	16.4	62.43333333	0.01666667	12.1	12.48333333	0.08333333	0.68333333	1.91666667	7.1	0.2	4.4	47.33333333	33.93333333	14.61666667	0.23333333	14.61666667	0.08333333	47.78333333	5.7	3.23333333	3.23333333	4.4	1.26666667	0.08333333	0.5	12.46666667	62.43333333	6.1	14.61666667	1.26666667	0.73333333	4.63333333	10.7	0.68333333	1.2
SP1.141656	10.3	0.45	8.36666667	4.08333333	32.13333333	0.05	17.48333333	2.56666667	5.61666667	28.3	32.13333333	2.81666667	3.2	1.88333333	6.0	49.15	6.0	2.81666667	5.65833333	5.3	49.58333333	12.96666667	0.05	0.53333333	7.25	1.8	0.0	18.2	0.6	7.71666667	2.6	7.71666667	17.1	49.15	49.58333333	17.4	12.96666667	5.08333333	5.08333333	64.23333333	5.43333333	1.13333333	18.2	64.23333333	1.81666667	10.3	10.68333333	1.88333333	1.11666667	0.11666667	5.3	1.6	2.6	49.13333333	32.13333333	16.41666667	2.03333333	16.41666667	1.88333333	49.58333333	3.9	5.03333333	5.03333333	2.6	0.53333333	1.88333333	1.3	10.66666667	64.23333333	4.3	16.41666667	0.53333333	2.53333333	2.83333333	8.9	1.11666667	0.6
LQ2.141729	28.5	17.75	26.56666667	22.28333333	50.33333333	18.15	35.68333333	15.63333333	23.81666667	46.5	50.33333333	21.01666667	15.0	16.31666667	24.2	30.95	24.2	21.01666667	23.85833333	23.5	31.38333333	31.16666667	18.15	17.66666667	25.45	16.4	18.2	0.0	17.6	25.91666667	20.8	25.91666667	35.3	30.95	31.38333333	35.6	31.16666667	23.28333333	23.28333333	46.03333333	23.63333333	17.06666667	0.0	46.03333333	16.38333333	28.5	28.88333333	16.31666667	17.08333333	18.31666667	23.5	16.6	20.8	30.93333333	50.33333333	1.78333333	16.16666667	1.78333333	16.31666667	31.38333333	22.1	13.16666667	13.16666667	20.8	17.66666667	16.31666667	16.9	28.86666667	46.03333333	22.5	1.78333333	17.66666667	15.66666667	21.03333333	27.1	17.08333333	17.6
VC2.141694	10.9	0.15	8.96666667	4.68333333	32.73333333	0.55	18.08333333	1.96666667	6.21666667	28.9	32.73333333	3.41666667	2.6	1.28333333	6.6	48.55	6.6	3.41666667	6.25833333	5.9	48.98333333	13.56666667	0.55	0.06666667	7.85	1.2	0.6	17.6	0.0	8.31666667	3.2	8.31666667	17.7	48.55	48.98333333	18.0	13.56666667	5.68333333	5.68333333	63.63333333	6.03333333	0.53333333	17.6	63.63333333	1.21666667	10.9	11.28333333	1.28333333	0.51666667	0.71666667	5.9	1.0	3.2	48.53333333	32.73333333	15.81666667	1.43333333	15.81666667	1.28333333	48.98333333	4.5	4.43333333	4.43333333	3.2	0.06666667	1.28333333	0.7	11.26666667	63.63333333	4.9	15.81666667	0.06666667	1.93333333	3.43333333	9.5	0.51666667	0.0
HJ1.141718	2.58333333	8.16666667	0.65	3.63333334	24.41666666	7.76666667	9.76666666	10.28333334	2.1	20.58333333	24.41666666	4.9	10.91666667	9.6	1.71666667	56.86666667	1.71666667	4.9	2.05833334	2.41666667	57.3	5.25	7.76666667	8.25	0.46666667	9.51666667	7.71666667	25.91666667	8.31666667	0.0	5.11666667	0.0	9.38333333	56.86666667	57.3	9.68333333	5.25	2.63333334	2.63333334	71.95	2.28333334	8.85	25.91666667	71.95	9.53333334	2.58333333	2.96666666	9.6	8.83333334	7.6	2.41666667	9.31666667	5.11666667	56.85	24.41666666	24.13333334	9.75	24.13333334	9.6	57.3	3.81666667	12.75	12.75	5.11666667	8.25	9.6	9.01666667	2.95	71.95	3.41666667	24.13333334	8.25	10.25	4.88333334	1.18333333	8.83333334	8.31666667
KP3.141658	7.7	3.05	5.76666667	1.48333333	29.53333333	2.65	14.88333333	5.16666667	3.01666667	25.7	29.53333333	0.21666667	5.8	4.48333333	3.4	51.75	3.4	0.21666667	3.05833333	2.7	52.18333333	10.36666667	2.65	3.13333333	4.65	4.4	2.6	20.8	3.2	5.11666667	0.0	5.11666667	14.5	51.75	52.18333333	14.8	10.36666667	2.48333333	2.48333333	66.83333333	2.83333333	3.73333333	20.8	66.83333333	4.41666667	7.7	8.08333333	4.48333333	3.71666667	2.48333333	2.7	4.2	0.0	51.73333333	29.53333333	19.01666667	4.63333333	19.01666667	4.48333333	52.18333333	1.3	7.63333333	7.63333333	0.0	3.13333333	4.48333333	3.9	8.06666667	66.83333333	1.7	19.01666667	3.13333333	5.13333333	0.23333333	6.3	3.71666667	3.2
