	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
HJ2.141717	2.58333333	8.16666667	0.65	3.63333334	24.41666666	7.76666667	9.76666666	10.28333334	2.1	20.58333333	24.41666666	4.9	10.91666667	9.6	1.71666667	56.86666667	1.71666667	4.9	2.05833334	2.41666667	57.3	5.25	7.76666667	8.25	0.46666667	9.51666667	7.71666667	25.91666667	8.31666667	0.0	5.11666667	0.0	9.38333333	56.86666667	57.3	9.68333333	5.25	2.63333334	2.63333334	71.95	2.28333334	8.85	25.91666667	71.95	9.53333334	2.58333333	2.96666666	9.6	8.83333334	7.6	2.41666667	9.31666667	5.11666667	56.85	24.41666666	24.13333334	9.75	24.13333334	9.6	57.3	3.81666667	12.75	12.75	5.11666667	8.25	9.6	9.01666667	2.95	71.95	3.41666667	24.13333334	8.25	10.25	4.88333334	1.18333333	8.83333334	8.31666667
SK3.141716	6.8	17.55	8.73333333	13.01666667	15.03333333	17.15	0.38333333	19.66666667	11.48333333	11.2	15.03333333	14.28333333	20.3	18.98333333	11.1	66.25	11.1	14.28333333	11.44166667	11.8	66.68333333	4.13333333	17.15	17.63333333	9.85	18.9	17.1	35.3	17.7	9.38333333	14.5	9.38333333	0.0	66.25	66.68333333	0.3	4.13333333	12.01666667	12.01666667	81.33333333	11.66666667	18.23333333	35.3	81.33333333	18.91666667	6.8	6.41666667	18.98333333	18.21666667	16.98333333	11.8	18.7	14.5	66.23333333	15.03333333	33.51666667	19.13333333	33.51666667	18.98333333	66.68333333	13.2	22.13333333	22.13333333	14.5	17.63333333	18.98333333	18.4	6.43333333	81.33333333	12.8	33.51666667	17.63333333	19.63333333	14.26666667	8.2	18.21666667	17.7
PE6.141700	59.45	48.7	57.51666667	53.23333333	81.28333333	49.1	66.63333333	46.58333333	54.76666667	77.45	81.28333333	51.96666667	45.95	47.26666667	55.15	0.0	55.15	51.96666667	54.80833333	54.45	0.43333333	62.11666667	49.1	48.61666667	56.4	47.35	49.15	30.95	48.55	56.86666667	51.75	56.86666667	66.25	0.0	0.43333333	66.55	62.11666667	54.23333333	54.23333333	15.08333333	54.58333333	48.01666667	30.95	15.08333333	47.33333333	59.45	59.83333333	47.26666667	48.03333333	49.26666667	54.45	47.55	51.75	0.01666667	81.28333333	32.73333333	47.11666667	32.73333333	47.26666667	0.43333333	53.05	44.11666667	44.11666667	51.75	48.61666667	47.26666667	47.85	59.81666667	15.08333333	53.45	32.73333333	48.61666667	46.61666667	51.98333333	58.05	48.03333333	48.55
PE4.141683	59.88333333	49.13333333	57.95	53.66666666	81.71666666	49.53333333	67.06666666	47.01666666	55.2	77.88333333	81.71666666	52.4	46.38333333	47.7	55.58333333	0.43333333	55.58333333	52.4	55.24166666	54.88333333	0.0	62.55	49.53333333	49.05	56.83333333	47.78333333	49.58333333	31.38333333	48.98333333	57.3	52.18333333	57.3	66.68333333	0.43333333	0.0	66.98333333	62.55	54.66666666	54.66666666	14.65	55.01666666	48.45	31.38333333	14.65	47.76666666	59.88333333	60.26666666	47.7	48.46666666	49.7	54.88333333	47.98333333	52.18333333	0.45	81.71666666	33.16666666	47.55	33.16666666	47.7	0.0	53.48333333	44.55	44.55	52.18333333	49.05	47.7	48.28333333	60.25	14.65	53.88333333	33.16666666	49.05	47.05	52.41666666	58.48333333	48.46666666	48.98333333
SK1.141669	7.1	17.85	9.03333333	13.31666667	14.73333333	17.45	0.08333333	19.96666667	11.78333333	10.9	14.73333333	14.58333333	20.6	19.28333333	11.4	66.55	11.4	14.58333333	11.74166667	12.1	66.98333333	4.43333333	17.45	17.93333333	10.15	19.2	17.4	35.6	18.0	9.68333333	14.8	9.68333333	0.3	66.55	66.98333333	0.0	4.43333333	12.31666667	12.31666667	81.63333333	11.96666667	18.53333333	35.6	81.63333333	19.21666667	7.1	6.71666667	19.28333333	18.51666667	17.28333333	12.1	19.0	14.8	66.53333333	14.73333333	33.81666667	19.43333333	33.81666667	19.28333333	66.98333333	13.5	22.43333333	22.43333333	14.8	17.93333333	19.28333333	18.7	6.73333333	81.63333333	13.1	33.81666667	17.93333333	19.93333333	14.56666667	8.5	18.51666667	18.0
MP1.141661	2.66666667	13.41666667	4.6	8.88333334	19.16666666	13.01666667	4.51666666	15.53333334	7.35	15.33333333	19.16666666	10.15	16.16666667	14.85	6.96666667	62.11666667	6.96666667	10.15	7.30833334	7.66666667	62.55	0.0	13.01666667	13.5	5.71666667	14.76666667	12.96666667	31.16666667	13.56666667	5.25	10.36666667	5.25	4.13333333	62.11666667	62.55	4.43333333	0.0	7.88333334	7.88333334	77.2	7.53333334	14.1	31.16666667	77.2	14.78333334	2.66666667	2.28333334	14.85	14.08333334	12.85	7.66666667	14.56666667	10.36666667	62.1	19.16666666	29.38333334	15.0	29.38333334	14.85	62.55	9.06666667	18.0	18.0	10.36666667	13.5	14.85	14.26666667	2.3	77.2	8.66666667	29.38333334	13.5	15.5	10.13333334	4.06666667	14.08333334	13.56666667
BF2.141708	5.21666667	5.53333333	3.28333334	1.0	27.05	5.13333333	12.4	7.65	0.53333334	23.21666667	27.05	2.26666666	8.28333333	6.96666666	0.91666667	54.23333333	0.91666667	2.26666666	0.575	0.21666667	54.66666666	7.88333334	5.13333333	5.61666666	2.16666667	6.88333333	5.08333333	23.28333333	5.68333333	2.63333334	2.48333333	2.63333334	12.01666667	54.23333333	54.66666666	12.31666667	7.88333334	0.0	0.0	69.31666666	0.35	6.21666666	23.28333333	69.31666666	6.9	5.21666667	5.6	6.96666666	6.2	4.96666666	0.21666667	6.68333333	2.48333333	54.21666666	27.05	21.5	7.11666666	21.5	6.96666666	54.66666666	1.18333333	10.11666666	10.11666666	2.48333333	5.61666666	6.96666666	6.38333333	5.58333334	69.31666666	0.78333333	21.5	5.61666666	7.61666666	2.25	3.81666667	6.2	5.68333333
BF1.141647	5.21666667	5.53333333	3.28333334	1.0	27.05	5.13333333	12.4	7.65	0.53333334	23.21666667	27.05	2.26666666	8.28333333	6.96666666	0.91666667	54.23333333	0.91666667	2.26666666	0.575	0.21666667	54.66666666	7.88333334	5.13333333	5.61666666	2.16666667	6.88333333	5.08333333	23.28333333	5.68333333	2.63333334	2.48333333	2.63333334	12.01666667	54.23333333	54.66666666	12.31666667	7.88333334	0.0	0.0	69.31666666	0.35	6.21666666	23.28333333	69.31666666	6.9	5.21666667	5.6	6.96666666	6.2	4.96666666	0.21666667	6.68333333	2.48333333	54.21666666	27.05	21.5	7.11666666	21.5	6.96666666	54.66666666	1.18333333	10.11666666	10.11666666	2.48333333	5.61666666	6.96666666	6.38333333	5.58333334	69.31666666	0.78333333	21.5	5.61666666	7.61666666	2.25	3.81666667	6.2	5.68333333
AR3.141705	74.53333333	63.78333333	72.6	68.31666666	96.36666666	64.18333333	81.71666666	61.66666666	69.85	92.53333333	96.36666666	67.05	61.03333333	62.35	70.23333333	15.08333333	70.23333333	67.05	69.89166666	69.53333333	14.65	77.2	64.18333333	63.7	71.48333333	62.43333333	64.23333333	46.03333333	63.63333333	71.95	66.83333333	71.95	81.33333333	15.08333333	14.65	81.63333333	77.2	69.31666666	69.31666666	0.0	69.66666666	63.1	46.03333333	0.0	62.41666666	74.53333333	74.91666666	62.35	63.11666666	64.35	69.53333333	62.63333333	66.83333333	15.1	96.36666666	47.81666666	62.2	47.81666666	62.35	14.65	68.13333333	59.2	59.2	66.83333333	63.7	62.35	62.93333333	74.9	0.0	68.53333333	47.81666666	63.7	61.7	67.06666666	73.13333333	63.11666666	63.63333333
CF2.141679	4.86666667	5.88333333	2.93333334	1.35	26.7	5.48333333	12.05	8.0	0.18333334	22.86666667	26.7	2.61666666	8.63333333	7.31666666	0.56666667	54.58333333	0.56666667	2.61666666	0.225	0.13333333	55.01666666	7.53333334	5.48333333	5.96666666	1.81666667	7.23333333	5.43333333	23.63333333	6.03333333	2.28333334	2.83333333	2.28333334	11.66666667	54.58333333	55.01666666	11.96666667	7.53333334	0.35	0.35	69.66666666	0.0	6.56666666	23.63333333	69.66666666	7.25	4.86666667	5.25	7.31666666	6.55	5.31666666	0.13333333	7.03333333	2.83333333	54.56666666	26.7	21.85	7.46666666	21.85	7.31666666	55.01666666	1.53333333	10.46666666	10.46666666	2.83333333	5.96666666	7.31666666	6.73333333	5.23333334	69.66666666	1.13333333	21.85	5.96666666	7.96666666	2.6	3.46666667	6.55	6.03333333
SA1.141670	11.43333333	0.68333333	9.5	5.21666666	33.26666666	1.08333333	18.61666666	1.43333334	6.75	29.43333333	33.26666666	3.95	2.06666667	0.75	7.13333333	48.01666667	7.13333333	3.95	6.79166666	6.43333333	48.45	14.1	1.08333333	0.6	8.38333333	0.66666667	1.13333333	17.06666667	0.53333333	8.85	3.73333333	8.85	18.23333333	48.01666667	48.45	18.53333333	14.1	6.21666666	6.21666666	63.1	6.56666666	0.0	17.06666667	63.1	0.68333334	11.43333333	11.81666666	0.75	0.01666666	1.25	6.43333333	0.46666667	3.73333333	48.0	33.26666666	15.28333334	0.9	15.28333334	0.75	48.45	5.03333333	3.9	3.9	3.73333333	0.6	0.75	0.16666667	11.8	63.1	5.43333333	15.28333334	0.6	1.4	3.96666666	10.03333333	0.01666666	0.53333333
LQ3.141712	28.5	17.75	26.56666667	22.28333333	50.33333333	18.15	35.68333333	15.63333333	23.81666667	46.5	50.33333333	21.01666667	15.0	16.31666667	24.2	30.95	24.2	21.01666667	23.85833333	23.5	31.38333333	31.16666667	18.15	17.66666667	25.45	16.4	18.2	0.0	17.6	25.91666667	20.8	25.91666667	35.3	30.95	31.38333333	35.6	31.16666667	23.28333333	23.28333333	46.03333333	23.63333333	17.06666667	0.0	46.03333333	16.38333333	28.5	28.88333333	16.31666667	17.08333333	18.31666667	23.5	16.6	20.8	30.93333333	50.33333333	1.78333333	16.16666667	1.78333333	16.31666667	31.38333333	22.1	13.16666667	13.16666667	20.8	17.66666667	16.31666667	16.9	28.86666667	46.03333333	22.5	1.78333333	17.66666667	15.66666667	21.03333333	27.1	17.08333333	17.6
AR1.141727	74.53333333	63.78333333	72.6	68.31666666	96.36666666	64.18333333	81.71666666	61.66666666	69.85	92.53333333	96.36666666	67.05	61.03333333	62.35	70.23333333	15.08333333	70.23333333	67.05	69.89166666	69.53333333	14.65	77.2	64.18333333	63.7	71.48333333	62.43333333	64.23333333	46.03333333	63.63333333	71.95	66.83333333	71.95	81.33333333	15.08333333	14.65	81.63333333	77.2	69.31666666	69.31666666	0.0	69.66666666	63.1	46.03333333	0.0	62.41666666	74.53333333	74.91666666	62.35	63.11666666	64.35	69.53333333	62.63333333	66.83333333	15.1	96.36666666	47.81666666	62.2	47.81666666	62.35	14.65	68.13333333	59.2	59.2	66.83333333	63.7	62.35	62.93333333	74.9	0.0	68.53333333	47.81666666	63.7	61.7	67.06666666	73.13333333	63.11666666	63.63333333
SR3.141674	12.11666667	1.36666667	10.18333334	5.9	33.95	1.76666667	19.3	0.75	7.43333334	30.11666667	33.95	4.63333334	1.38333333	0.06666666	7.81666667	47.33333333	7.81666667	4.63333334	7.475	7.11666667	47.76666666	14.78333334	1.76666667	1.28333334	9.06666667	0.01666667	1.81666667	16.38333333	1.21666667	9.53333334	4.41666667	9.53333334	18.91666667	47.33333333	47.76666666	19.21666667	14.78333334	6.9	6.9	62.41666666	7.25	0.68333334	16.38333333	62.41666666	0.0	12.11666667	12.5	0.06666666	0.7	1.93333334	7.11666667	0.21666667	4.41666667	47.31666666	33.95	14.6	0.21666666	14.6	0.06666666	47.76666666	5.71666667	3.21666666	3.21666666	4.41666667	1.28333334	0.06666666	0.51666667	12.48333334	62.41666666	6.11666667	14.6	1.28333334	0.71666666	4.65	10.71666667	0.7	1.21666667
MT1.141719	0.0	10.75	1.93333333	6.21666667	21.83333333	10.35	7.18333333	12.86666667	4.68333333	18.0	21.83333333	7.48333333	13.5	12.18333333	4.3	59.45	4.3	7.48333333	4.64166667	5.0	59.88333333	2.66666667	10.35	10.83333333	3.05	12.1	10.3	28.5	10.9	2.58333333	7.7	2.58333333	6.8	59.45	59.88333333	7.1	2.66666667	5.21666667	5.21666667	74.53333333	4.86666667	11.43333333	28.5	74.53333333	12.11666667	0.0	0.38333333	12.18333333	11.41666667	10.18333333	5.0	11.9	7.7	59.43333333	21.83333333	26.71666667	12.33333333	26.71666667	12.18333333	59.88333333	6.4	15.33333333	15.33333333	7.7	10.83333333	12.18333333	11.6	0.36666667	74.53333333	6.0	26.71666667	10.83333333	12.83333333	7.46666667	1.4	11.41666667	10.9
IT2.141720	0.38333333	11.13333333	2.31666666	6.6	21.45	10.73333333	6.8	13.25	5.06666666	17.61666667	21.45	7.86666666	13.88333333	12.56666666	4.68333333	59.83333333	4.68333333	7.86666666	5.025	5.38333333	60.26666666	2.28333334	10.73333333	11.21666666	3.43333333	12.48333333	10.68333333	28.88333333	11.28333333	2.96666666	8.08333333	2.96666666	6.41666667	59.83333333	60.26666666	6.71666667	2.28333334	5.6	5.6	74.91666666	5.25	11.81666666	28.88333333	74.91666666	12.5	0.38333333	0.0	12.56666666	11.8	10.56666666	5.38333333	12.28333333	8.08333333	59.81666666	21.45	27.1	12.71666666	27.1	12.56666666	60.26666666	6.78333333	15.71666666	15.71666666	8.08333333	11.21666666	12.56666666	11.98333333	0.01666666	74.91666666	6.38333333	27.1	11.21666666	13.21666666	7.85	1.78333333	11.8	11.28333333
CL3.141664	12.18333333	1.43333333	10.25	5.96666666	34.01666666	1.83333333	19.36666666	0.68333334	7.5	30.18333333	34.01666666	4.7	1.31666667	0.0	7.88333333	47.26666667	7.88333333	4.7	7.54166666	7.18333333	47.7	14.85	1.83333333	1.35	9.13333333	0.08333333	1.88333333	16.31666667	1.28333333	9.6	4.48333333	9.6	18.98333333	47.26666667	47.7	19.28333333	14.85	6.96666666	6.96666666	62.35	7.31666666	0.75	16.31666667	62.35	0.06666666	12.18333333	12.56666666	0.0	0.76666666	2.0	7.18333333	0.28333333	4.48333333	47.25	34.01666666	14.53333334	0.15	14.53333334	0.0	47.7	5.78333333	3.15	3.15	4.48333333	1.35	0.0	0.58333333	12.55	62.35	6.18333333	14.53333334	1.35	0.65	4.71666666	10.78333333	0.76666666	1.28333333
SF1.141728	11.41666667	0.66666667	9.48333334	5.2	33.25	1.06666667	18.6	1.45	6.73333334	29.41666667	33.25	3.93333334	2.08333333	0.76666666	7.11666667	48.03333333	7.11666667	3.93333334	6.775	6.41666667	48.46666666	14.08333334	1.06666667	0.58333334	8.36666667	0.68333333	1.11666667	17.08333333	0.51666667	8.83333334	3.71666667	8.83333334	18.21666667	48.03333333	48.46666666	18.51666667	14.08333334	6.2	6.2	63.11666666	6.55	0.01666666	17.08333333	63.11666666	0.7	11.41666667	11.8	0.76666666	0.0	1.23333334	6.41666667	0.48333333	3.71666667	48.01666666	33.25	15.3	0.91666666	15.3	0.76666666	48.46666666	5.01666667	3.91666666	3.91666666	3.71666667	0.58333334	0.76666666	0.18333333	11.78333334	63.11666666	5.41666667	15.3	0.58333334	1.41666666	3.95	10.01666667	0.0	0.51666667
SP2.141678	10.18333333	0.56666667	8.25	3.96666666	32.01666666	0.16666667	17.36666666	2.68333334	5.5	28.18333333	32.01666666	2.7	3.31666667	2.0	5.88333333	49.26666667	5.88333333	2.7	5.54166666	5.18333333	49.7	12.85	0.16666667	0.65	7.13333333	1.91666667	0.11666667	18.31666667	0.71666667	7.6	2.48333333	7.6	16.98333333	49.26666667	49.7	17.28333333	12.85	4.96666666	4.96666666	64.35	5.31666666	1.25	18.31666667	64.35	1.93333334	10.18333333	10.56666666	2.0	1.23333334	0.0	5.18333333	1.71666667	2.48333333	49.25	32.01666666	16.53333334	2.15	16.53333334	2.0	49.7	3.78333333	5.15	5.15	2.48333333	0.65	2.0	1.41666667	10.55	64.35	4.18333333	16.53333334	0.65	2.65	2.71666666	8.78333333	1.23333334	0.71666667
IE1.141648	5.0	5.75	3.06666667	1.21666667	26.83333333	5.35	12.18333333	7.86666667	0.31666667	23.0	26.83333333	2.48333333	8.5	7.18333333	0.7	54.45	0.7	2.48333333	0.35833333	0.0	54.88333333	7.66666667	5.35	5.83333333	1.95	7.1	5.3	23.5	5.9	2.41666667	2.7	2.41666667	11.8	54.45	54.88333333	12.1	7.66666667	0.21666667	0.21666667	69.53333333	0.13333333	6.43333333	23.5	69.53333333	7.11666667	5.0	5.38333333	7.18333333	6.41666667	5.18333333	0.0	6.9	2.7	54.43333333	26.83333333	21.71666667	7.33333333	21.71666667	7.18333333	54.88333333	1.4	10.33333333	10.33333333	2.7	5.83333333	7.18333333	6.6	5.36666667	69.53333333	1.0	21.71666667	5.83333333	7.83333333	2.46666667	3.6	6.41666667	5.9
MD2.141689	11.9	1.15	9.96666667	5.68333333	33.73333333	1.55	19.08333333	0.96666667	7.21666667	29.9	33.73333333	4.41666667	1.6	0.28333333	7.6	47.55	7.6	4.41666667	7.25833333	6.9	47.98333333	14.56666667	1.55	1.06666667	8.85	0.2	1.6	16.6	1.0	9.31666667	4.2	9.31666667	18.7	47.55	47.98333333	19.0	14.56666667	6.68333333	6.68333333	62.63333333	7.03333333	0.46666667	16.6	62.63333333	0.21666667	11.9	12.28333333	0.28333333	0.48333333	1.71666667	6.9	0.0	4.2	47.53333333	33.73333333	14.81666667	0.43333333	14.81666667	0.28333333	47.98333333	5.5	3.43333333	3.43333333	4.2	1.06666667	0.28333333	0.3	12.26666667	62.63333333	5.9	14.81666667	1.06666667	0.93333333	4.43333333	10.5	0.48333333	1.0
KP1.141713	7.7	3.05	5.76666667	1.48333333	29.53333333	2.65	14.88333333	5.16666667	3.01666667	25.7	29.53333333	0.21666667	5.8	4.48333333	3.4	51.75	3.4	0.21666667	3.05833333	2.7	52.18333333	10.36666667	2.65	3.13333333	4.65	4.4	2.6	20.8	3.2	5.11666667	0.0	5.11666667	14.5	51.75	52.18333333	14.8	10.36666667	2.48333333	2.48333333	66.83333333	2.83333333	3.73333333	20.8	66.83333333	4.41666667	7.7	8.08333333	4.48333333	3.71666667	2.48333333	2.7	4.2	0.0	51.73333333	29.53333333	19.01666667	4.63333333	19.01666667	4.48333333	52.18333333	1.3	7.63333333	7.63333333	0.0	3.13333333	4.48333333	3.9	8.06666667	66.83333333	1.7	19.01666667	3.13333333	5.13333333	0.23333333	6.3	3.71666667	3.2
PE5.141692	59.43333333	48.68333333	57.5	53.21666666	81.26666666	49.08333333	66.61666666	46.56666666	54.75	77.43333333	81.26666666	51.95	45.93333333	47.25	55.13333333	0.01666667	55.13333333	51.95	54.79166666	54.43333333	0.45	62.1	49.08333333	48.6	56.38333333	47.33333333	49.13333333	30.93333333	48.53333333	56.85	51.73333333	56.85	66.23333333	0.01666667	0.45	66.53333333	62.1	54.21666666	54.21666666	15.1	54.56666666	48.0	30.93333333	15.1	47.31666666	59.43333333	59.81666666	47.25	48.01666666	49.25	54.43333333	47.53333333	51.73333333	0.0	81.26666666	32.71666666	47.1	32.71666666	47.25	0.45	53.03333333	44.1	44.1	51.73333333	48.6	47.25	47.83333333	59.8	15.1	53.43333333	32.71666666	48.6	46.6	51.96666666	58.03333333	48.01666666	48.53333333
TL2.141706	21.83333333	32.58333333	23.76666666	28.05	0.0	32.18333333	14.65	34.7	26.51666666	3.83333333	0.0	29.31666666	35.33333333	34.01666666	26.13333333	81.28333333	26.13333333	29.31666666	26.475	26.83333333	81.71666666	19.16666666	32.18333333	32.66666666	24.88333333	33.93333333	32.13333333	50.33333333	32.73333333	24.41666666	29.53333333	24.41666666	15.03333333	81.28333333	81.71666666	14.73333333	19.16666666	27.05	27.05	96.36666666	26.7	33.26666666	50.33333333	96.36666666	33.95	21.83333333	21.45	34.01666666	33.25	32.01666666	26.83333333	33.73333333	29.53333333	81.26666666	0.0	48.55	34.16666666	48.55	34.01666666	81.71666666	28.23333333	37.16666666	37.16666666	29.53333333	32.66666666	34.01666666	33.43333333	21.46666666	96.36666666	27.83333333	48.55	32.66666666	34.66666666	29.3	23.23333333	33.25	32.73333333
HI4.141735	26.71666667	15.96666667	24.78333334	20.5	48.55	16.36666667	33.9	13.85	22.03333334	44.71666667	48.55	19.23333334	13.21666667	14.53333334	22.41666667	32.73333333	22.41666667	19.23333334	22.075	21.71666667	33.16666666	29.38333334	16.36666667	15.88333334	23.66666667	14.61666667	16.41666667	1.78333333	15.81666667	24.13333334	19.01666667	24.13333334	33.51666667	32.73333333	33.16666666	33.81666667	29.38333334	21.5	21.5	47.81666666	21.85	15.28333334	1.78333333	47.81666666	14.6	26.71666667	27.1	14.53333334	15.3	16.53333334	21.71666667	14.81666667	19.01666667	32.71666666	48.55	0.0	14.38333334	0.0	14.53333334	33.16666666	20.31666667	11.38333334	11.38333334	19.01666667	15.88333334	14.53333334	15.11666667	27.08333334	47.81666666	20.71666667	0.0	15.88333334	13.88333334	19.25	25.31666667	15.3	15.81666667
SB1.141730	12.33333333	1.58333333	10.4	6.11666666	34.16666666	1.98333333	19.51666666	0.53333334	7.65	30.33333333	34.16666666	4.85	1.16666667	0.15	8.03333333	47.11666667	8.03333333	4.85	7.69166666	7.33333333	47.55	15.0	1.98333333	1.5	9.28333333	0.23333333	2.03333333	16.16666667	1.43333333	9.75	4.63333333	9.75	19.13333333	47.11666667	47.55	19.43333333	15.0	7.11666666	7.11666666	62.2	7.46666666	0.9	16.16666667	62.2	0.21666666	12.33333333	12.71666666	0.15	0.91666666	2.15	7.33333333	0.43333333	4.63333333	47.1	34.16666666	14.38333334	0.0	14.38333334	0.15	47.55	5.93333333	3.0	3.0	4.63333333	1.5	0.15	0.73333333	12.7	62.2	6.33333333	14.38333334	1.5	0.5	4.86666666	10.93333333	0.91666666	1.43333333
HI3.141676	26.71666667	15.96666667	24.78333334	20.5	48.55	16.36666667	33.9	13.85	22.03333334	44.71666667	48.55	19.23333334	13.21666667	14.53333334	22.41666667	32.73333333	22.41666667	19.23333334	22.075	21.71666667	33.16666666	29.38333334	16.36666667	15.88333334	23.66666667	14.61666667	16.41666667	1.78333333	15.81666667	24.13333334	19.01666667	24.13333334	33.51666667	32.73333333	33.16666666	33.81666667	29.38333334	21.5	21.5	47.81666666	21.85	15.28333334	1.78333333	47.81666666	14.6	26.71666667	27.1	14.53333334	15.3	16.53333334	21.71666667	14.81666667	19.01666667	32.71666666	48.55	0.0	14.38333334	0.0	14.53333334	33.16666666	20.31666667	11.38333334	11.38333334	19.01666667	15.88333334	14.53333334	15.11666667	27.08333334	47.81666666	20.71666667	0.0	15.88333334	13.88333334	19.25	25.31666667	15.3	15.81666667
CL4.141667	12.18333333	1.43333333	10.25	5.96666666	34.01666666	1.83333333	19.36666666	0.68333334	7.5	30.18333333	34.01666666	4.7	1.31666667	0.0	7.88333333	47.26666667	7.88333333	4.7	7.54166666	7.18333333	47.7	14.85	1.83333333	1.35	9.13333333	0.08333333	1.88333333	16.31666667	1.28333333	9.6	4.48333333	9.6	18.98333333	47.26666667	47.7	19.28333333	14.85	6.96666666	6.96666666	62.35	7.31666666	0.75	16.31666667	62.35	0.06666666	12.18333333	12.56666666	0.0	0.76666666	2.0	7.18333333	0.28333333	4.48333333	47.25	34.01666666	14.53333334	0.15	14.53333334	0.0	47.7	5.78333333	3.15	3.15	4.48333333	1.35	0.0	0.58333333	12.55	62.35	6.18333333	14.53333334	1.35	0.65	4.71666666	10.78333333	0.76666666	1.28333333
PE3.141731	59.88333333	49.13333333	57.95	53.66666666	81.71666666	49.53333333	67.06666666	47.01666666	55.2	77.88333333	81.71666666	52.4	46.38333333	47.7	55.58333333	0.43333333	55.58333333	52.4	55.24166666	54.88333333	0.0	62.55	49.53333333	49.05	56.83333333	47.78333333	49.58333333	31.38333333	48.98333333	57.3	52.18333333	57.3	66.68333333	0.43333333	0.0	66.98333333	62.55	54.66666666	54.66666666	14.65	55.01666666	48.45	31.38333333	14.65	47.76666666	59.88333333	60.26666666	47.7	48.46666666	49.7	54.88333333	47.98333333	52.18333333	0.45	81.71666666	33.16666666	47.55	33.16666666	47.7	0.0	53.48333333	44.55	44.55	52.18333333	49.05	47.7	48.28333333	60.25	14.65	53.88333333	33.16666666	49.05	47.05	52.41666666	58.48333333	48.46666666	48.98333333
CO1.141714	6.4	4.35	4.46666667	0.18333333	28.23333333	3.95	13.58333333	6.46666667	1.71666667	24.4	28.23333333	1.08333333	7.1	5.78333333	2.1	53.05	2.1	1.08333333	1.75833333	1.4	53.48333333	9.06666667	3.95	4.43333333	3.35	5.7	3.9	22.1	4.5	3.81666667	1.3	3.81666667	13.2	53.05	53.48333333	13.5	9.06666667	1.18333333	1.18333333	68.13333333	1.53333333	5.03333333	22.1	68.13333333	5.71666667	6.4	6.78333333	5.78333333	5.01666667	3.78333333	1.4	5.5	1.3	53.03333333	28.23333333	20.31666667	5.93333333	20.31666667	5.78333333	53.48333333	0.0	8.93333333	8.93333333	1.3	4.43333333	5.78333333	5.2	6.76666667	68.13333333	0.4	20.31666667	4.43333333	6.43333333	1.06666667	5.0	5.01666667	4.5
RT1.141654	15.33333333	4.58333333	13.4	9.11666666	37.16666666	4.98333333	22.51666666	2.46666666	10.65	33.33333333	37.16666666	7.85	1.83333333	3.15	11.03333333	44.11666667	11.03333333	7.85	10.69166666	10.33333333	44.55	18.0	4.98333333	4.5	12.28333333	3.23333333	5.03333333	13.16666667	4.43333333	12.75	7.63333333	12.75	22.13333333	44.11666667	44.55	22.43333333	18.0	10.11666666	10.11666666	59.2	10.46666666	3.9	13.16666667	59.2	3.21666666	15.33333333	15.71666666	3.15	3.91666666	5.15	10.33333333	3.43333333	7.63333333	44.1	37.16666666	11.38333334	3.0	11.38333334	3.15	44.55	8.93333333	0.0	0.0	7.63333333	4.5	3.15	3.73333333	15.7	59.2	9.33333333	11.38333334	4.5	2.5	7.86666666	13.93333333	3.91666666	4.43333333
RT2.141710	15.33333333	4.58333333	13.4	9.11666666	37.16666666	4.98333333	22.51666666	2.46666666	10.65	33.33333333	37.16666666	7.85	1.83333333	3.15	11.03333333	44.11666667	11.03333333	7.85	10.69166666	10.33333333	44.55	18.0	4.98333333	4.5	12.28333333	3.23333333	5.03333333	13.16666667	4.43333333	12.75	7.63333333	12.75	22.13333333	44.11666667	44.55	22.43333333	18.0	10.11666666	10.11666666	59.2	10.46666666	3.9	13.16666667	59.2	3.21666666	15.33333333	15.71666666	3.15	3.91666666	5.15	10.33333333	3.43333333	7.63333333	44.1	37.16666666	11.38333334	3.0	11.38333334	3.15	44.55	8.93333333	0.0	0.0	7.63333333	4.5	3.15	3.73333333	15.7	59.2	9.33333333	11.38333334	4.5	2.5	7.86666666	13.93333333	3.91666666	4.43333333
