	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340
Face42.143360	0.0672474	0.1200018	0.06968126	0.16266268	0.1008761	0.1076445	0.12000574	0.09749738	0.42862882	0.09461094	0.09292108	0.07597254	0.20056734	0.11329982	0.0392871	0.1250292	0.11508266	0.11020042	0.09080478	0.10225978	0.0	0.0933284	0.08257182	0.09280294	0.10166276	0.0743998	0.09874866	0.08180868	0.10711808	0.08977908	0.10477596	0.0978918	0.11016518	0.11251588	0.0968441	0.10715854	0.09771354	0.1203788	0.0986683	0.08542142	0.0943491	0.11018658	0.09220162	0.11708122	0.02868322	0.08249864	0.31146666	0.10502832	0.11369476
Face35.143358	0.03604124	0.06257996	0.03255226	0.16026484	0.04334342	0.04408946	0.13974158	0.0305103	0.48126938	0.05372666	0.03725788	0.07244946	0.27369654	0.05315954	0.11756226	0.06597816	0.0551055	0.0451109	0.04259098	0.04093786	0.0933284	0.0	0.03467578	0.03409182	0.04713904	0.0410016	0.0327121	0.15500276	0.04279424	0.01809344	0.04097972	0.03639332	0.05316134	0.05422448	0.03321642	0.04834602	0.03701978	0.11174352	0.04803898	0.03062118	0.03129618	0.05117306	0.0415183	0.05732782	0.07642422	0.03087452	0.36478038	0.04256544	0.04891624
Face12.143333	0.04613794	0.08365534	0.04521536	0.14281842	0.06214952	0.06476628	0.12101716	0.04805524	0.47063416	0.044778	0.0396207	0.06950376	0.25206984	0.07373804	0.10346484	0.08773246	0.07405644	0.05847396	0.0428316	0.04784828	0.08257182	0.03467578	0.0	0.05133636	0.04581614	0.03264434	0.05310184	0.13247898	0.05652678	0.03548242	0.0526441	0.05238758	0.07252464	0.0758331	0.05427804	0.06734252	0.05417532	0.1024883	0.04255076	0.043555	0.04941904	0.07157368	0.04334164	0.07905392	0.06789304	0.04372846	0.3525588	0.06168814	0.07245162
Face3.143313	0.04288086	0.04317386	0.04115376	0.16750158	0.0300352	0.02489336	0.14451996	0.01985256	0.49396556	0.054673	0.03388358	0.0861788	0.27989484	0.03475796	0.11868932	0.04729398	0.03397648	0.02659016	0.04064388	0.03182756	0.09280294	0.03409182	0.05133636	0.0	0.03968302	0.06056622	0.03129376	0.16159182	0.02487658	0.03436602	0.03554954	0.0192787	0.03277032	0.03335642	0.01631248	0.02711896	0.01507424	0.10992942	0.04651912	0.028069	0.0101564	0.02994976	0.0330378	0.03865156	0.083426	0.0196113	0.37463772	0.02498998	0.0336851
Face49.143338	0.06501408	0.06762968	0.0534219	0.14888232	0.06357826	0.04275178	0.13280514	0.0417431	0.48324154	0.0343921	0.02714432	0.09783582	0.26529994	0.06407566	0.1123927	0.0709884	0.05474982	0.03511882	0.03501206	0.02365046	0.10166276	0.04713904	0.04581614	0.03968302	0.0	0.0616726	0.0651463	0.15398216	0.03549932	0.04956776	0.0320074	0.03919448	0.0567439	0.05878856	0.04600906	0.04705606	0.04367022	0.09389996	0.03326582	0.04735446	0.03938274	0.05540418	0.02727442	0.06046738	0.0858707	0.04388768	0.36872498	0.04920992	0.05973948
Face14.143311	0.04632432	0.09431624	0.04523402	0.14952724	0.07280974	0.07116978	0.1099327	0.05654554	0.4586141	0.05419026	0.05420976	0.05978374	0.24759834	0.08456354	0.09441374	0.09859172	0.08439658	0.07122894	0.05006222	0.0598481	0.0743998	0.0410016	0.03264434	0.06056622	0.0616726	0.0	0.06246314	0.12782148	0.0682434	0.04286332	0.06314992	0.06102604	0.08302538	0.08489132	0.06246494	0.07674766	0.0666605	0.10803632	0.05599626	0.04873694	0.05982634	0.08034326	0.05479014	0.08902466	0.05767938	0.0544474	0.33795214	0.06872056	0.0782472
Face27.143353	0.0347799	0.03450674	0.0425566	0.1807175	0.01377396	0.03834116	0.1585734	0.04051724	0.50029956	0.07465164	0.05506802	0.07536656	0.2951676	0.02724572	0.13165568	0.03933514	0.03734952	0.0442222	0.05610992	0.05577852	0.09874866	0.0327121	0.05310184	0.03129376	0.0651463	0.06246314	0.0	0.17376014	0.04147674	0.02958806	0.05659398	0.03362634	0.02888484	0.03115666	0.02419088	0.02970256	0.02515156	0.12454358	0.06929664	0.03458992	0.03244728	0.03210388	0.0562174	0.03944284	0.09241628	0.03029678	0.38773764	0.02837018	0.03157998
Face45.143312	0.14235036	0.19751368	0.14202882	0.1240292	0.17644778	0.17331998	0.09087102	0.15435046	0.38401518	0.13681014	0.14655204	0.15068906	0.14815254	0.18868742	0.05898274	0.20076904	0.18663514	0.1703741	0.14178814	0.16016078	0.08180868	0.15500276	0.13247898	0.16159182	0.15398216	0.12782148	0.17376014	0.0	0.16520368	0.15410692	0.15788136	0.16078172	0.18581734	0.1877296	0.16489054	0.17964266	0.16781198	0.16343724	0.15558982	0.14953134	0.15989366	0.18403954	0.14467542	0.19080762	0.09307782	0.15467608	0.27521758	0.16987476	0.18410464
Face23.143337	0.05743952	0.04220056	0.05031698	0.16733384	0.0399057	0.01992234	0.14948274	0.03061506	0.49507102	0.05361582	0.03976716	0.10140714	0.28427874	0.03973582	0.12171466	0.0458876	0.03091498	0.01662394	0.0412701	0.0243765	0.10711808	0.04279424	0.05652678	0.02487658	0.03549932	0.0682434	0.04147674	0.16520368	0.0	0.04583332	0.03306676	0.02278988	0.03319302	0.0324186	0.02392074	0.02539638	0.02258178	0.10527988	0.04659702	0.03445166	0.02311334	0.03291286	0.04133778	0.03732026	0.09143778	0.029665	0.3788693	0.0245606	0.03313676
Face34.143321	0.03015292	0.05936288	0.03018098	0.16128564	0.0380217	0.04561174	0.1384149	0.02904698	0.48138606	0.0603369	0.04270584	0.07231346	0.27709922	0.0489845	0.11682526	0.06319996	0.0558207	0.04629902	0.04101878	0.0417317	0.08977908	0.01809344	0.03548242	0.03436602	0.04956776	0.04286332	0.02958806	0.15410692	0.04583332	0.0	0.04184808	0.034614	0.0500105	0.05194836	0.03317382	0.04732774	0.03733038	0.11625288	0.05033686	0.02371582	0.0322187	0.0481405	0.04433282	0.0558417	0.07395238	0.02674364	0.36480882	0.04212752	0.04481692
