#/home/wwwuser/user_data/studies/meta_analysis_512/bdiv/tmpOfi92x2QbNLQkP2LMzI6/meta_analysis_tmpS2d36rXRw1ayOTqYAden_otu_table_even500.txt
#OTU ID	Face38.143319	Face32.143355	Face30.143329	Face44.143349	Face17.143354	Face21.143328	Face46.143315	Face13.143318	Face37.143323	Face9.143346	Face10.143341	Face39.143332	Face43.143350	Face18.143342	Face47.143345	Face6.143359	Face26.143322	Face20.143326	Face19.143331	Face8.143357	Face42.143360	Face35.143358	Face12.143333	Face3.143313	Face49.143338	Face14.143311	Face27.143353	Face45.143312	Face23.143337	Face34.143321	Face7.143339	Face24.143324	Face28.143348	Face33.143336	Face15.143344	Face31.143330	Face2.143352	Face11.143343	Face4.143335	Face29.143316	Face50.143317	Face1.143356	Face22.143334	Face25.143320	Face48.143351	Face41.143327	Face36.143314	Face40.143325	Face16.143340	Consensus Lineage
245117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Delftia;s__
25242	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
26143	0	0	1	17	0	3	5	0	0	4	2	0	14	0	3	0	3	4	0	5	2	1	0	1	2	1	0	0	1	0	1	4	0	0	2	4	3	0	4	0	2	1	8	1	1	3	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__Roseomonas mucosa
360204	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__
44012	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei
470190	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
471122	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella melaninogenica
484436	0	0	1	17	0	0	9	0	0	5	9	0	3	1	0	0	2	1	1	4	1	0	3	3	4	2	0	1	2	1	3	0	1	1	4	1	2	0	5	1	3	2	2	1	3	2	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__;s__
516119	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula
533937	0	0	0	0	0	0	0	0	18	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	26	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae
550878	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__
58296	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris
58301	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria
60254	0	0	0	2	0	2	1	4	3	0	1	0	1	0	0	0	1	0	1	3	1	3	2	0	0	4	0	0	1	5	4	0	0	0	0	2	0	0	6	2	0	1	0	1	1	1	6	1	6	k__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
86757	0	1	0	4	0	0	5	1	0	0	4	0	2	0	0	0	0	0	0	0	3	2	1	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Finegoldia;s__
87984	0	0	0	4	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Afipia;s__Afipia felis
