	M9Ekey217.141044	M2Tkey217.141054	M2Gkey217.141106	M2Enter217.141012	M2Skey217.141089	M9Pkey217.141096	M9Fkey217.141065	M9Okey217.141076	M9Akey217.141086	M2Ckey217.141092	M2Ykey217.141095	M2Ukey217.141085	M2Nkey217.141052	M3Kkey217.141046	M3Ykey217.141023	M3Lkey217.141097	M3Bkey217.141059	M9Wkey217.141090	M9Nkey217.141010	M9Mkey217.141007	M9Bkey217.141032	M2Ikey217.141000	M2Mkey217.141014	M3Ckey217.141073	M3Space217.141098	M9Xkey217.141072	M2Vkey217.141022	M2Rkey217.141050	M2Pkey217.141105	M2Lkey217.141048	M2Qkey217.141102	M2Kkey217.141041	M2Xkey217.141016	M2Ekey217.141011	M2Fkey217.141078	M3Jkey217.141017	M9Gkey217.141099	M9Vkey217.141018	M9Kkey217.141033	M9Ckey217.141013	M2Hkey217.141026	M3Nkey217.141001	M3Akey217.141006	M3Mkey217.141107	M3Zkey217.141083	M3Rkey217.141025	M3Qkey217.141051	M9Enter217.141084	M9Dkey217.141053	M2Bkey217.141063	M3Wkey217.141104	M3Xkey217.141055	M9Space217.141079	M9Ykey217.141029	M9Qkey217.141019	M2Okey217.141061	M2Dkey217.140994	M2Zkey217.141015	M2Space217.140997	M2Lsft217.141056	M2Jkey217.141038	M2Wkey217.141070	M2Akey217.141030	M3Pkey217.141031	M3Ekey217.141042	M3Lsft217.141088	M3Hkey217.141093	M3Rsft217.140995	M9Hkey217.140999	M9Skey217.141004	M2Rsft217.141034	M3Gkey217.141037	M3Vkey217.141028	M3Tkey217.141081
M2Ykey217.141095	1.92523375204	0.639019561516	1.62137040802	4.5305187341	2.85732829755	2.58312098052	1.91156088054	1.932	3.43830481488	3.38684307283	0.0	0.656012195009	3.10885831134	2.11246680447	0.0	2.60700690448	3.08310265804	2.56203825108	3.10885831134	3.27343794809	3.08310265804	1.29834664092	3.27343794809	3.38684307283	4.76131746474	3.72990723745	3.14757589265	1.277	2.58312098052	2.60700690448	3.20809741124	2.11246680447	3.72990723745	1.92523375204	1.91156088054	1.75867677531	1.62137040802	3.14757589265	2.11246680447	3.38684307283	1.55237141174	3.10885831134	3.43830481488	3.27343794809	4.12163086654	1.277	3.20809741124	4.5305187341	2.34843117847	3.08310265804	2.56203825108	3.72990723745	4.76131746474	0.0	3.20809741124	1.932	2.34843117847	4.12163086654	4.76131746474	4.88332642775	1.75867677531	2.56203825108	3.43830481488	2.58312098052	1.92523375204	4.88332642775	1.55237141174	5.11000978473	1.55237141174	2.85732829755	5.11000978473	1.62137040802	3.14757589265	0.639019561516
M2Ukey217.141085	2.58122393449	1.29503127375	1.92354724403	3.92298865662	3.43057968862	1.92721820249	2.36122701153	1.27600626958	4.0351143726	3.71701089587	0.656012195009	0.0	3.07847884514	1.73436904954	0.656012195009	2.1231592027	3.18890482768	3.21805034143	3.07847884514	3.1112499096	3.18890482768	0.642899681132	3.1112499096	3.71701089587	4.82550722722	4.13666145581	3.37751535896	1.93300413864	1.92721820249	2.1231592027	3.86410882352	1.73436904954	4.13666145581	2.58122393449	2.36122701153	1.57176079605	1.92354724403	3.37751535896	1.73436904954	3.71701089587	1.62521660095	3.07847884514	4.0351143726	3.1112499096	4.58668780276	1.93300413864	3.86410882352	3.92298865662	2.87818988255	3.18890482768	3.21805034143	4.13666145581	4.82550722722	0.656012195009	3.86410882352	1.27600626958	2.87818988255	4.58668780276	4.82550722722	5.40865131063	1.57176079605	3.21805034143	4.0351143726	1.92721820249	2.58122393449	5.40865131063	1.62521660095	4.60560093799	1.62521660095	3.43057968862	4.60560093799	1.92354724403	3.37751535896	1.29503127375
M2Nkey217.141052	3.88250241468	3.26632300913	1.80344170962	4.05224382287	3.28119261855	3.69495250308	2.22336794076	3.3917936258	3.85807464936	1.93100647332	3.10885831134	3.07847884514	0.0	1.80411640423	3.10885831134	2.18802765065	0.649062400698	4.31900914563	0.0	0.646	0.649062400698	3.14554669334	0.646	1.93100647332	1.79401895196	2.5820627413	1.28724278984	3.54220115183	3.69495250308	2.18802765065	4.79032660682	1.80411640423	2.5820627413	3.88250241468	2.22336794076	1.54395077642	1.80344170962	1.28724278984	1.80411640423	1.93100647332	1.56106277901	0.0	3.85807464936	0.646	3.23001253868	3.54220115183	4.79032660682	4.05224382287	2.73167878785	0.649062400698	4.31900914563	2.5820627413	1.79401895196	3.10885831134	4.79032660682	3.3917936258	2.73167878785	3.23001253868	1.79401895196	4.26409861518	1.54395077642	4.31900914563	3.85807464936	3.69495250308	3.88250241468	4.26409861518	1.56106277901	3.59200222717	1.56106277901	3.28119261855	3.59200222717	1.80344170962	1.28724278984	3.26632300913
M3Kkey217.141046	3.69374349407	2.58910216098	1.92502103885	2.80610263533	3.8560032417	1.89420009503	2.57300310921	1.6148671772	4.50806388597	3.26502588045	2.11246680447	1.73436904954	1.80411640423	0.0	2.11246680447	0.636660820217	2.22363351297	4.2886757863	1.80411640423	1.56108936323	2.22363351297	1.51723564419	1.56108936323	3.26502588045	3.57711671602	3.86183220764	2.70112458061	3.12831088609	1.89420009503	0.636660820217	4.89437851009	0.0	3.86183220764	3.69374349407	2.57300310921	0.634315378972	1.92502103885	2.70112458061	0.0	3.26502588045	1.28500622567	1.80411640423	4.50806388597	1.56108936323	4.45994585169	3.12831088609	4.89437851009	2.80610263533	3.219	2.22363351297	4.2886757863	3.86183220764	3.57711671602	2.11246680447	4.89437851009	1.6148671772	3.219	4.45994585169	3.57711671602	5.44783268833	0.634315378972	4.2886757863	4.50806388597	1.89420009503	3.69374349407	5.44783268833	1.28500622567	3.04986098044	1.28500622567	3.8560032417	3.04986098044	1.92502103885	2.70112458061	2.58910216098
M3Ykey217.141023	1.92523375204	0.639019561516	1.62137040802	4.5305187341	2.85732829755	2.58312098052	1.91156088054	1.932	3.43830481488	3.38684307283	0.0	0.656012195009	3.10885831134	2.11246680447	0.0	2.60700690448	3.08310265804	2.56203825108	3.10885831134	3.27343794809	3.08310265804	1.29834664092	3.27343794809	3.38684307283	4.76131746474	3.72990723745	3.14757589265	1.277	2.58312098052	2.60700690448	3.20809741124	2.11246680447	3.72990723745	1.92523375204	1.91156088054	1.75867677531	1.62137040802	3.14757589265	2.11246680447	3.38684307283	1.55237141174	3.10885831134	3.43830481488	3.27343794809	4.12163086654	1.277	3.20809741124	4.5305187341	2.34843117847	3.08310265804	2.56203825108	3.72990723745	4.76131746474	0.0	3.20809741124	1.932	2.34843117847	4.12163086654	4.76131746474	4.88332642775	1.75867677531	2.56203825108	3.43830481488	2.58312098052	1.92523375204	4.88332642775	1.55237141174	5.11000978473	1.55237141174	2.85732829755	5.11000978473	1.62137040802	3.14757589265	0.639019561516
M3Lkey217.141097	4.29238511786	3.13846092854	2.5610780933	2.17000576036	4.49212867135	1.62324890266	3.20909738088	1.57615386305	5.14400243001	3.82747240356	2.60700690448	2.1231592027	2.18802765065	0.636660820217	2.60700690448	0.0	2.70225479924	4.89742391467	2.18802765065	1.77423701912	2.70225479924	1.72718759838	1.77423701912	3.82747240356	3.87248202062	4.44180560133	3.23530786789	3.70737670058	1.62324890266	0.0	5.51072009814	0.636660820217	4.44180560133	4.29238511786	3.20909738088	1.27003188936	2.5610780933	3.23530786789	0.636660820217	3.82747240356	1.9211626688	2.18802765065	5.14400243001	1.77423701912	5.05289857409	3.70737670058	5.51072009814	2.17000576036	3.85510907757	2.70225479924	4.89742391467	4.44180560133	3.87248202062	2.60700690448	5.51072009814	1.57615386305	3.85510907757	5.05289857409	3.87248202062	6.05257267614	1.27003188936	4.89742391467	5.14400243001	1.62324890266	4.29238511786	6.05257267614	1.9211626688	2.50300319616	1.9211626688	4.49212867135	2.50300319616	2.5610780933	3.23530786789	3.13846092854
M3Bkey217.141059	3.52351486445	3.1112499096	1.56310588253	4.66391959622	2.72964045251	4.10432454857	1.81473110956	3.72189763427	3.27454332694	1.28207644078	3.08310265804	3.18890482768	0.649062400698	2.22363351297	3.08310265804	2.70225479924	0.0	3.89469305594	0.649062400698	1.29503127375	0.0	3.3792380798	1.29503127375	1.28207644078	1.68165692102	1.93302095177	0.638905313799	3.27569305644	4.10432454857	2.70225479924	4.31547413386	2.22363351297	1.93302095177	3.52351486445	1.81473110956	1.80283166158	1.56310588253	0.638905313799	2.22363351297	1.28207644078	1.56800031888	0.649062400698	3.27454332694	1.29503127375	2.581	3.27569305644	4.31547413386	4.66391959622	2.23013833652	0.0	3.89469305594	1.93302095177	1.68165692102	3.08310265804	4.31547413386	3.72189763427	2.23013833652	2.581	1.68165692102	3.61505532461	1.80283166158	3.89469305594	3.27454332694	4.10432454857	3.52351486445	3.61505532461	1.56800031888	4.24100294742	1.56800031888	2.72964045251	4.24100294742	1.56310588253	0.638905313799	3.1112499096
M9Wkey217.141090	0.637200910232	1.92302106073	2.58749183574	6.98806811644	1.52857613484	5.14501175898	2.09764749183	4.4940218068	1.62864974749	3.25042181878	2.56203825108	3.21805034143	4.31900914563	4.2886757863	2.56203825108	4.89742391467	3.89469305594	0.0	4.31900914563	4.7973263387	3.89469305594	3.86003316048	4.7973263387	3.25042181878	5.3410688069	3.10972281723	3.50744721985	1.28507626233	5.14501175898	4.89742391467	0.646093646463	4.2886757863	3.10972281723	0.637200910232	2.09764749183	3.7113329142	2.58749183574	3.50744721985	4.2886757863	3.25042181878	3.12340023052	4.31900914563	1.62864974749	4.7973263387	3.07016432785	1.28507626233	0.646093646463	6.98806811644	1.71790482856	3.89469305594	0.0	3.10972281723	5.3410688069	2.56203825108	0.646093646463	4.4940218068	1.71790482856	3.07016432785	5.3410688069	3.31453903281	3.7113329142	0.0	1.62864974749	5.14501175898	0.637200910232	3.31453903281	3.12340023052	7.31480252638	3.12340023052	1.52857613484	7.31480252638	2.58749183574	3.50744721985	1.92302106073
M9Nkey217.141010	3.88250241468	3.26632300913	1.80344170962	4.05224382287	3.28119261855	3.69495250308	2.22336794076	3.3917936258	3.85807464936	1.93100647332	3.10885831134	3.07847884514	0.0	1.80411640423	3.10885831134	2.18802765065	0.649062400698	4.31900914563	0.0	0.646	0.649062400698	3.14554669334	0.646	1.93100647332	1.79401895196	2.5820627413	1.28724278984	3.54220115183	3.69495250308	2.18802765065	4.79032660682	1.80411640423	2.5820627413	3.88250241468	2.22336794076	1.54395077642	1.80344170962	1.28724278984	1.80411640423	1.93100647332	1.56106277901	0.0	3.85807464936	0.646	3.23001253868	3.54220115183	4.79032660682	4.05224382287	2.73167878785	0.649062400698	4.31900914563	2.5820627413	1.79401895196	3.10885831134	4.79032660682	3.3917936258	2.73167878785	3.23001253868	1.79401895196	4.26409861518	1.54395077642	4.31900914563	3.85807464936	3.69495250308	3.88250241468	4.26409861518	1.56106277901	3.59200222717	1.56106277901	3.28119261855	3.59200222717	1.80344170962	1.28724278984	3.26632300913
M9Mkey217.141007	4.31408402793	3.5418709745	2.2184828149	3.46085134035	3.86397994301	3.37132525871	2.72944041884	3.17151635657	4.45995964107	2.5770048506	3.27343794809	3.1112499096	0.646	1.56108936323	3.27343794809	1.77423701912	1.29503127375	4.7973263387	0.646	0.0	1.29503127375	3.04431338728	0.0	2.5770048506	2.10085791999	3.22805018548	1.93316165904	3.90480076316	3.37132525871	1.77423701912	5.30493741716	1.56108936323	3.22805018548	4.31408402793	2.72944041884	1.54436912686	2.2184828149	1.93316165904	1.56108936323	2.5770048506	1.81088403825	0.646	4.45995964107	0.0	3.8760104489	3.90480076316	5.30493741716	3.46085134035	3.28681928314	1.29503127375	4.7973263387	3.22805018548	2.10085791999	3.27343794809	5.30493741716	3.17151635657	3.28681928314	3.8760104489	2.10085791999	4.9100856408	1.54436912686	4.7973263387	4.45995964107	3.37132525871	4.31408402793	4.9100856408	1.81088403825	2.94600271555	1.81088403825	3.86397994301	2.94600271555	2.2184828149	1.93316165904	3.5418709745
