pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Face10.143341	0.0194688167629	0.00991741026077	0.0153755537605	-0.000664762292719	0.0029601107756	-0.00660450409506	-0.00392408610197	0.00881571367707	0.00816800663315	0.000110248916281	0.00606305647927	0.0156271071688	-0.00521122254947	0.00320616977644	0.00750528246321	0.00564048357139	-0.00241565246522	0.0033245847294	-0.000492581677883	0.0100176290205	0.00277044587075	-0.00146675589693	0.00149493537609	-0.000616251091783	-8.70129898104e-05	-0.00661748042774	0.0019120930026	-0.00390892968354	0.00219333688682	-0.00239764634394	0.0018038779848	0.000941562390889	0.00243665163623	0.0020130788379	0.00399899383093	0.000214102805062	0.000496133827037	-0.00196671890897	0.0013543800704	-0.000702889694496	-0.00121119474787	0.00104941608825	-0.00124395246489	0.000312475063765	0.000679837126465	-0.000152625546541	-0.000306540976446	-1.3603869624e-05	-1.56321272505e-09
Face39.143332	0.0111520472652	0.00795416548796	-0.0391972550138	-0.0605717306762	-0.00299754187468	0.0141381143515	-0.0284031742464	-0.00298548347927	-0.00531332942669	-0.00235334288708	-0.0167177137734	0.0101257762182	-0.000115657318444	-0.00614517652909	-0.00980251029088	0.00442356572616	0.00719099547508	0.00763427133022	0.00166984360829	0.00204948172282	-0.000801991031601	0.00134445805085	0.000189203113942	0.000382557668944	-0.00138123530945	0.000276643016963	-0.000416922348396	-0.000545924225029	-0.000590309498068	4.14068070002e-06	0.00145354398071	-0.00161620467065	-0.000627944284601	-0.000664731398521	0.00056839922498	-0.000399096600054	5.10803255236e-06	9.80675156611e-05	6.69592938217e-05	0.000357458471461	0.000508114665329	2.31686025907e-05	-0.000155503800875	0.000176347707912	-6.14310290169e-07	-0.000179649068451	-0.000128140681702	-2.90941520513e-06	-1.5632127249e-09
Face43.143350	-0.203134867351	0.128436793582	-0.0472195337239	0.0470566351067	0.0143161388725	0.0292519404252	-0.0111729954629	0.00948471827531	0.000925374435713	-0.0128123504909	0.00572209924821	0.00127977172813	-0.000292714241416	-0.00117031248107	-0.00392715113201	-0.00137787396955	-0.00215249546232	0.00131408278119	0.00170151261629	-0.000785037705371	0.000826150050902	0.00273665898673	-0.000726090874651	0.00131428719993	0.000330900320762	-7.46482089507e-05	3.86505789696e-05	-0.00137271865035	-0.000975178758683	0.000251717676925	-0.000924648460539	-2.04369428334e-05	-0.000222973199122	2.26260027104e-05	0.000415667484741	0.000100594048552	-3.84111084031e-05	-0.000175763796234	8.70372779389e-05	-1.04964201572e-05	-0.000195461275064	-0.000140444914515	0.000131508034536	4.30483723226e-05	-4.71025785396e-05	1.38666410918e-05	5.1089747665e-06	-3.94790482445e-06	-1.56321272491e-09
Face18.143342	0.0610826032697	-0.0227495878969	-0.00800851365545	0.00311484088569	8.67529053501e-05	0.00411796372704	0.00333585147817	-0.00626024769563	-0.000463738084219	-0.00301778837837	0.00587447110049	0.00650652405551	0.00278155860408	-0.00104119684344	9.56296118144e-06	0.00245908749207	-0.00543560279676	-0.00462075685026	3.65226540264e-05	0.00349001348196	-0.00154244996192	0.000467230158364	0.00248165922331	-0.00191383414793	0.00104462228917	0.00438220003553	-0.00137929210148	-0.00256093365722	0.00269172693278	0.000842750671293	-0.00181320050758	-0.00252245931145	-0.00287253973423	-0.0034610722943	-0.00121719579966	0.000284586145216	0.00205553273797	-0.00192589462531	-0.000587524125971	0.00405264536419	-0.00183060435942	0.00013872904769	-0.00100721696753	0.00116293252911	-0.000547961943826	-0.00169524790003	0.000233084077557	4.80483710718e-05	-1.56321272417e-09
Face47.143345	-0.0628966366889	0.0409158924646	-0.0325362850504	0.000736220723326	-0.0174390216712	-0.0181901839768	0.0218098755669	0.00441023770565	-0.00198153527291	0.00328153820851	-0.023584658362	-0.00503000915341	0.00423608933085	-0.0114373207191	0.00426799050808	0.00382628024735	-0.0131309993247	-0.00334367447257	0.00246111177891	0.00284658823094	0.00590209385136	0.00186802854198	-0.000954990091314	0.000491250565635	0.0027538845064	-0.00157156094813	0.000412860995247	0.00162115243868	0.00125997674638	0.000277748511274	0.00222571894886	-0.000140147962656	-0.000393577511871	0.000172056974623	-0.000469485261506	0.000448916876107	0.000300722980762	-0.00021932201044	-0.000244151251012	0.000159180073001	0.00077893267096	0.00046995844766	0.000121233754613	-6.42394703087e-05	0.000203388073829	-6.51886599318e-05	-0.000120913944799	6.37988743011e-06	-1.56321272476e-09
Face6.143359	0.0703116560692	-0.030354633266	-0.00735216620504	0.0132316668955	-0.0100009234455	0.0111112516163	-0.00117546012218	-0.00966278333064	0.00278907316627	0.000226043692424	0.00268001890372	0.000751607778959	0.00476296427722	0.00348828280051	-0.00902254345748	0.00474528111621	-0.00706329388399	-0.000184736707263	0.000624192184676	-0.00222326058484	-0.000751713794178	-0.00279745224003	0.00470888611549	-0.000443286127197	0.00254639210818	0.000511908633335	-0.000564371199098	0.00519589108621	-0.00237812795861	-0.00172837509528	-0.00101530406527	0.000680895497019	0.00268245885392	0.00220159712719	0.000429109533951	-0.00282061078974	0.000625508037164	0.00342008178526	0.00119249738503	0.00184282501904	0.000213843424616	0.000867795872613	0.000109852853164	0.000117617453862	0.0012571656542	-0.000682777604473	-0.00158540152903	-4.78916418512e-05	-1.56321272553e-09
Face26.143322	0.0585294204273	-0.0149400140418	0.000137597529045	0.0161127854958	-0.00533614612041	0.00107972760714	0.00746160959679	0.0012756536052	0.00327807149466	-0.00322795614793	0.00162000276585	-0.00040291454088	-0.00178756500856	-0.00201406015647	-0.00642537242762	-0.0057456746356	0.00820814408444	-8.73686289837e-05	-0.00367383025428	-0.000242681136301	0.00605681159524	-0.000954726565772	-0.000417912046359	-0.00247080444472	0.00179964023234	0.00285718683236	0.00374784619363	0.000898453533994	-0.00651902823171	-0.00234234109506	0.00772583572617	0.00243772904249	-0.00220818944697	-0.000482092223441	0.000190397659556	0.00133858479424	0.00190591675929	-0.00144683796584	-0.000167329979063	0.000899383505762	-0.000365829788829	0.00125067161296	0.000305819893596	-0.000418697874226	0.000740057216197	0.00027436826827	-0.000291381104507	6.74610176466e-05	-1.56321272389e-09
Face20.143326	0.0408277275408	-0.00346779393344	0.0117755470208	0.0180641543531	0.000346125639942	0.00484068006157	-0.00200418213965	0.00162942867297	-0.00742616453585	0.000113767508513	-0.0115702837094	-0.0118460932115	0.00700584218237	0.00821467565889	-0.00282203463753	0.0021810862696	0.0123911015005	-0.0049532760309	0.00532066067139	0.00480551121341	0.00214950829626	-0.000831857814068	0.00301617926243	-0.00211698914319	0.00615709741008	-0.000607928860228	-0.00247440457821	-0.00200085045953	0.00391082947145	0.00181944275879	-0.00380549704741	0.00052253889015	-0.00204005584572	0.000704638233699	0.00010496144195	-0.00147308299747	0.00304973261309	-0.000995478301197	0.000405302950747	-0.00192946854625	-0.000599929725763	0.000376291653308	-0.00104118351443	-0.000255661954941	0.000592201215321	0.000493517362874	-0.000288180587272	6.53272422262e-07	-1.56321272484e-09
Face19.143331	0.0147571193719	0.000261692007455	0.0102831218221	-0.00382212891171	0.00205330548537	0.0001063550395	-0.00454225723307	0.00402554819667	0.00203961100274	0.0212146193669	-0.00388383275468	0.0120777718111	-0.000829036182454	0.00281127907762	-0.00408766647269	-0.00173989725186	-0.00288250586519	-0.00378315259775	-7.70477199239e-05	-0.0102876539668	0.00955585333417	0.00384795095996	-0.0038963135582	0.00271605226776	-0.000533401123674	0.00332992975546	-0.000760156972672	-0.00368622341831	-0.00141194267143	-0.00277720497548	-0.00479096415064	0.00153742220736	0.00172845984757	-0.00197866105648	-0.00119898240466	-0.00103496510603	-7.8632686218e-05	-0.000977980829167	0.000838770055796	-0.00117058914836	-0.00158649024273	0.000572496937805	-0.000168839959622	-0.000341963137362	0.000384649657008	0.000116243536866	0.000127229252452	3.82992724545e-06	-1.5632127248e-09
Face8.143357	0.0264816332617	-0.000372102173483	0.0162815219253	0.0100334367833	0.00532930868274	-0.000961564376838	-0.00511144745637	0.0138568197991	0.0101006887632	-0.000232169493324	-0.00391951714846	-0.00305039823824	-0.00692113510543	-0.000976580862106	0.00721371489722	0.000818261631395	0.00194402325157	0.00662183484925	-0.0032468924226	-0.0012094105444	0.00125749390802	0.00256591252359	0.00200129249169	-0.000703550850442	-0.00526790822395	-0.00154630091568	-0.00879454850942	0.00713333212268	-0.00168434770439	0.000108509043368	-0.000207883233179	0.00244418571113	-8.71708303062e-05	-0.00389176730479	-0.000465157779065	-0.000266076722463	0.0036194642735	-0.000610509015516	-0.00179552295003	-0.000927559614421	0.000646966289013	0.000645046476095	-0.000504821555832	0.000246520032891	-0.000512201200385	-0.000827663496334	-0.000294006512907	-3.24556703229e-05	-1.56321272532e-09
