NUMERICSAM	EASTING	NORTHING	ALT	NAG	CBH	AG	BG	BXYL	PHOS	SOIL_H2O	TOTALPLN	TOTALDI	TOTALMON	SLOPE	ASPECT	CURVATURE	HILLSHADE	MeanSnowDe	TDN	MN	DOC	SAND	CLAY	SILT	DOC_N	MBC_N	MBCfuzzed	pH	AcidoGp1	AcidoGp3	AcidoGp4	AcidoGp7	Acidos	ActinAmyc	ActinRubro	Actinos	AProteoRhi	AProteoRho	Aproteo	BProteoBur	Bproteo	Dproteo	Proteo	Unclass	Cyanobacte	Nitrospira	ActinoOt	BacSphCren	BacSphFlex	BacOt	Bacteros	Gemmats	AProteOt	Gproteo	ProteOt	Porder	NChloroflexi	Nchloroplast	NOD1	NG7	NG8	NG12Delta	NG12T1034	NG13c	NG5	NG9	NBacSpheCren	 NGp16	NChloroGs	NCyanobacteria	NActinRubro	NAProtRhizo	NG6	NCyanobacteria	NAcidoGp3	NAcidoGp1	NG12	NAProtRhodo	NBacSphFlex_Cren	Niastella	G25	G15	G10
395	445120	4433745	3871.648926	2.909816518	5.640795727	0.679479592	20.76204962	0.90388501	30.45573025	7.52688172	2	1	1	25.1161	124.052	-0.234131	88	87.019	5.92457947	4.039138117	35.92067535	78	12	9	6.062991565	7.573199659	30.589	4.1	6.976744186	2.325581395	4.651162791	0	13.95348837	6.976744186	1.162790698	8.139534884	1.162790698	6.976744186	9.302325581	6.976744186	6.976744186	2.325581395	39.53488372	22.09302326	0	0	0	0	2.325581395	6.976744186	9.302325581	5.813953488	1.162790698	1.162790698	19.76744186	44	2.325581395	0	0	1.162790698	1.162790698	2.325581395	5.813953489	0	1.162790698	2.325581395	4.651162791	0	2.325581395	0	1.162790698	1.162790698	5.813953488	0	2.325581395	6.976744186	8.139534884	10.46511628	1.162790698	1.162790698	1.111111111	1.111111111	0
396	445153	4433795	3870.285645	2.016404335	2.785581849	0.498483043	10.38254337	0.82821995	17.71731578	7.52688172	37	3	34	25.2699	130.861	-0.247314	86	63.5581	4.422122999	2.65502582	27.52079207	87	11	2	6.223434327	41.12721238	82.312	4.2	3.305785124	7.438016529	2.479338843	0	13.2231405	5.785123967	1.652892562	11.57024793	2.479338843	10.74380165	16.52892562	3.305785124	6.611570248	0.826446281	42.14876033	22.31404959	0	0	4.132231405	0	1.652892562	1.652892562	3.305785124	7.438016529	3.305785124	0	18.18181818	45	0	0	1.652892562	2.479338843	0.826446281	2.479338843	10.74380166	0	0.826446281	0	0.826446281	1.652892562	0	0	1.652892562	2.479338843	1.652892562	0	7.438016529	3.305785124	13.2231405	14.87603306	1.652892562	1.652892562	0	0	1.351351351
492	445430	4433885	3844.082275	13.1082399	24.82418187	2.695735011	80.52442555	12.06370225	90.15698659	16.27906977	30	6	24	40.3037	168.04	-1.34888	39	65	11.93207362	12.60293658	93.68169551	71	12	17	7.851250208	5.743393212	72.384	4.8	9.74025974	5.194805195	1.298701299	1.298701299	18.83116883	5.194805195	4.545454545	11.03896104	2.597402597	0.649350649	5.194805195	1.948051948	2.597402597	1.948051948	35.06493506	25.32467532	0	0	1.298701299	1.298701299	1.948051948	3.246753247	6.493506494	3.246753247	1.948051948	1.298701299	24.02597403	46	0.649350649	0	0	0	0	1.298701299	7.792207792	2.597402597	4.545454545	3.246753247	2.597402597	1.298701299	3.246753247	0	4.545454545	3.246753247	7.792207792	0	5.194805195	9.74025974	9.090909091	4.545454545	3.246753247	1.948051948	0.775193798	0	0
493	445376	4433854	3828.87915	8.016265385	16.38539566	2.07105138	50.78294237	5.948276595	64.69112596	16.27906977	25	3	22	32.7051	159.376	-1.18018	62	65	8.727088425	8.835966134	62.19935996	66	18	15	7.127160506	4.65773456	41.156	4.71	7.281553398	3.398058252	4.854368932	0.970873786	19.41747573	6.310679612	2.427184466	8.737864078	3.398058252	1.45631068	8.737864078	8.252427184	9.223300971	3.883495146	35.4368932	14.0776699	1.45631068	0	0	3.398058252	2.427184466	10.19417476	16.01941748	4.854368932	3.883495146	0.485436893	13.10679612	47	0.970873786	0.485436893	0.970873786	0.485436893	0.485436893	0	4.368932039	0.485436893	1.941747573	0	6.310679612	1.941747573	1.45631068	0.970873786	2.427184466	3.398058252	0.970873786	1.45631068	3.398058252	7.281553398	4.368932039	1.45631068	4.368932039	0.970873786	2.976190476	0.595238095	1.785714286
496	445199	4433772	3846.748291	5.150577337	8.513302253	2.187148812	25.78119191	1.462630035	40.95412476	6.382978723	42	12	30	27.9401	127.832	-0.305664	75	60.6189	5.561203054	6.062976762	38.31181688	84	12	3	6.889123902	7.051459053	42.753	4.77	5.46875	3.125	2.34375	0.78125	12.5	6.25	0.78125	9.375	1.5625	2.34375	3.90625	5.46875	11.71875	1.5625	28.125	28.90625	1.5625	1.5625	2.34375	2.34375	0.78125	7.8125	10.9375	7.03125	0	0.78125	10.15625	48	0.78125	0.78125	0	0	0.78125	0	2.34375	1.5625	4.6875	0.78125	4.6875	1.5625	2.34375	3.125	0.78125	1.5625	3.125	3.90625	3.125	5.46875	2.34375	3.90625	3.125	0.78125	4.347826087	0	0.724637681
497	445136	4433706	3855.664551	14.59029649	20.40316186	5.334368921	58.0334506	5.256843481	98.9676095	16.27906977	0	0	0	23.9201	119.726	0.716309	94	107.038	9.077633681	20.07567117	56.04530082	71	15	14	6.173998951	7.273923189	146.029	3.54	2.675585284	5.685618729	6.35451505	1.672240803	16.72240803	5.351170569	2.341137124	9.364548495	1.003344482	7.357859532	11.70568562	1.003344482	2.341137124	0.334448161	42.14046823	21.40468227	0	0	1.672240803	0.668896321	2.006688963	4.682274247	7.357859532	1.672240803	3.344481605	0	27.75919732	49	1.337792642	0	0.668896321	2.006688963	1.337792642	0.668896321	6.02006689	0.668896321	2.341137124	1.672240803	2.341137124	5.351170569	2.006688963	0	2.341137124	1.337792642	7.023411371	0	5.685618729	2.675585284	6.688963211	11.70568562	1.003344482	0.334448161	3.225806452	0	0
498	445102	4433669	3859.500977	3.108646665	12.14994049	1.217317577	31.15531991	2.353319871	64.25907952	12.35955056	48	29	19	19.7672	110.732	-0.0109863	114	197.641	6.29838576	8.790827258	56.31854027	67	18	15	8.941741966	32.12741611	254.337	4.41	3.868471954	3.288201161	2.901353965	2.321083172	13.73307544	3.675048356	1.353965184	5.609284333	1.547388781	3.481624758	7.736943907	3.675048356	4.061895551	1.353965184	36.94390716	26.69245648	4.642166344	1.160541586	0.580270793	1.160541586	0.580270793	2.901353965	4.642166344	5.02901354	2.707930368	0.773694391	23.01740812	50	0.580270793	0.967117988	0.386847195	1.547388781	1.160541586	1.740812379	10.44487427	3.094777563	3.288201161	1.160541586	1.547388781	3.094777563	3.675048356	3.868471954	1.353965184	1.547388781	3.288201161	4.835589942	3.481624758	3.868471954	12.18568665	5.415860735	1.353965184	0.193423598	1.265822785	0	1.265822785
591	445174	4433553	3810.116211	46.80745723	60.89955437	7.252033957	91.47473027	15.16460604	85.72286924	23.45679012	16	10	6	29.8898	82.4878	-1.05933	101	421.238	13.81471133	7.514569202	50.75696853	71	15	14	3.674124439	41.62640805	281.94	4.32	7.575757576	2.02020202	0	0	10.1010101	6.565656566	0	6.565656566	0	1.01010101	5.050505051	9.090909091	10.1010101	3.535353535	35.85858586	11.61616162	0	0	0	1.01010101	4.545454545	19.19191919	24.74747475	13.13131313	4.04040404	4.04040404	13.13131313	51	0	0.505050505	2.02020202	1.515151515	0.505050505	0	1.515151515	0	0	0.505050505	1.01010101	3.03030303	0	0	0	0.505050505	0	0.505050505	2.02020202	7.575757576	1.515151515	2.02020202	4.545454545	3.535353535	0	0.819672131	0
592	445150	4433664	3834.394775	11.78505234	20.66233756	5.182086402	50.38852916	5.781298237	80.55079509	0	22	20	2	25.9185	118.5	-0.386719	86	144.609	5.591207664	7.996104214	42.03167598	71	15	14	7.517459288	10.31515712	57.481	4.67	3.76344086	5.376344086	4.838709677	0	13.97849462	4.838709677	4.301075269	10.21505376	0.537634409	5.376344086	10.75268817	2.150537634	2.150537634	0	40.86021505	26.34408602	0	0	1.075268817	3.76344086	1.075268817	2.688172043	7.52688172	1.075268817	4.838709677	1.075268817	26.88172043	52	0	0.537634409	0.537634409	0	1.612903226	0.537634409	11.82795699	0.537634409	0.537634409	0.537634409	4.838709677	0	0.537634409	0	4.301075269	0.537634409	6.451612903	0.537634409	5.913978495	3.76344086	12.3655914	7.52688172	4.838709677	1.075268817	0	0	1.298701299
593	445168	4433684	3835.063721	16.14122868	33.78869645	6.21087565	75.97119397	8.0376009	98.72570943	2.040816327	27	7	20	23.9771	120.994	-0.21167	93	102.523	8.52761773	16.46994926	47.35268915	52	20	27	5.552862552	8.866125745	120.514	4.19	3.773584906	2.830188679	5.660377358	1.886792453	19.81132075	2.830188679	0.943396226	4.716981132	3.773584906	0.943396226	9.433962264	1.886792453	5.660377358	0.943396226	23.58490566	25.47169811	0.943396226	1.886792453	0.943396226	0.943396226	6.603773585	9.433962264	16.98113208	4.716981132	4.716981132	1.886792453	5.660377358	53	0	0	0	0.943396226	0.943396226	0	5.660377358	0.943396226	0	3.773584906	0.943396226	0	0.943396226	0.943396226	0.943396226	4.716981132	0	0.943396226	2.830188679	3.773584906	5.660377358	1.886792453	4.716981132	3.773584906	0	0	0
