WAYPOINT	EASTING	NORTHING	ALT	IDNUM	NAG	CBH	AG	BG	BXYL	PHOS	PHENOX	PEROX	DRYWEIGHT	SOIL_H2O	NUMERICSAM	ColorCode	SNOWDEPT
0	445132	4433621	3834.88085938000	91	3.45264002800	7.96846067900	0.92669876800	18.48588979000	1.22944510400	43.48352055000	0.75901691800	0.83404762700	0.95000000000	5.26315789500	235	2	234.44219971
0	445126	4433621	3839.61499023000	94	1.35526446600	2.41324979000	0.03089590800	6.27161491300	0.18433366700	25.83299183000	0.45095167200	0.57686682600	0.93000000000	7.52688172000	245	2	235.05883789
0	445467	4433965	3893.81494141000	13	0.75601394800	1.93977295000	0.34038318900	7.59970509500	0.33422506000	18.77448369000	0.00000000000	0.10424482000	0.95000000000	5.26315789500	291	0	187.09747314
0	445409	4433944	3886.75732422000	17	5.28151301200	10.15053300000	1.82998258800	28.40158566000	3.12804244800	52.58967035000	0.00000000000	0.00000000000	0.89000000000	12.35955056000	292	0	250.03527832
0	445350	4433915	3871.52734375000	18	22.60694968000	24.25773246000	2.40032869000	60.66284560000	7.92419995400	74.20999024000	0.00000000000	0.30499163700	0.92000000000	8.69565217400	293	0	174.33235168
0	445289	4433900	3879.89135742000	19	2.71304268100	6.78377651100	0.88156429800	21.58226851000	2.60034987600	39.72104067000	0.00000000000	0.00000000000	0.90000000000	11.11111111000	294	0	135.49183655
0	445221	4433872	3879.06933594000	20	15.91624694000	21.32747732000	4.30303980600	53.82886714000	5.25461069100	81.51158109000	0.00000000000	0.57786910900	0.91000000000	9.89010989000	295	0	97.16069031
0	445147	4433842	3885.57983398000	21	22.74620563000	38.10059333000	6.55572311100	75.05168780000	9.34223854100	95.55220122000	0.10800343200	0.00000000000	0.86000000000	16.27906977000	296	0	42.83886719
0	445106	4433784	3881.95507813000	22	3.69263577200	4.39720154500	0.81561836800	15.39494106000	1.69201741600	39.68094288000	0.11011473700	0.15290592800	0.90000000000	11.11111111000	297	0	37.13868332
0	445077	4433730	3881.33764648000	23	5.95060339000	10.10358679000	2.48165799700	25.83668160000	2.27995411300	49.41924676000	0.09053142700	0.33413096500	0.92000000000	8.69565217400	298	0	77.32183075
0	445047	4433680	3887.23999023000	24	2.63590104900	7.70887597700	0.38470691400	19.09805669000	1.33112797000	26.83127400000	0.25016468900	0.32201814600	0.92000000000	8.69565217400	299	0	284.52188110
0	446764	4434305	3738.20068359000	129	1.27103749900	1.45335029200	0.00000000000	5.76252643100	0.13622045600	9.16292816600	0.00000000000	0.67565262300	0.93000000000	7.52688172000	315	3	239.97909546
0	446763	4434298	3734.76782227000	109	2.66663459500	4.90738912500	0.48130883700	7.35914893000	1.19719520700	19.75570858000	0.39431695000	0.83095328300	0.97000000000	3.09278350500	335	3	242.06469727
0	446759	4434301	3735.85644531000	132	1.68150574600	3.46366120300	0.42283277700	12.41027693000	0.97532737100	15.29781996000	0.00000000000	1.75893605000	0.99000000000	1.01010101000	345	3	243.74078369
0	445111	4433555	3858.86743164000	25	28.42372830000	18.17921221000	3.55893051800	46.09009953000	3.16559746300	34.71834429000	0.21461643700	0.97027749400	0.85000000000	17.64705882000	391	0	401.37295532
